Timestamp, AirTC_out, RH_out, AirTC_in, RH_in
2025-11-24 00:00:00, 10.15, 66.18, 7.824, 75.96
2025-11-24 00:10:00, 10.44, 64.51, 7.902, 75.85
2025-11-24 00:20:00, 10.42, 63.77, 7.881, 75.75
2025-11-24 00:30:00, 10.23, 63.92, 7.604, 76.1
2025-11-24 00:40:00, 10.01, 64.58, 7.528, 75.89
2025-11-24 00:50:00, 10.04, 64.77, 7.448, 75.23
2025-11-24 01:00:00, 9.61, 66.93, 7.297, 75.37
2025-11-24 01:10:00, 9.49, 68.12, 7.233, 75.8
2025-11-24 01:20:00, 9.49, 68.85, 7.166, 76.57
2025-11-24 01:30:00, 9.41, 69.14, 7.25, 76.99
2025-11-24 01:40:00, 9.15, 69.6, 6.971, 77.64
2025-11-24 01:50:00, 8.97, 69.42, 6.804, 77.88
2025-11-24 02:00:00, 8.54, 70.61, 6.486, 79.31
2025-11-24 02:10:00, 8.09, 71.4, 6.293, 79.81
2025-11-24 02:20:00, 7.78, 71.68, 6.14, 80.0
2025-11-24 02:30:00, 7.853, 70.92, 5.995, 80.1
2025-11-24 02:40:00, 7.943, 71.25, 5.914, 80.2
2025-11-24 02:50:00, 7.894, 71.79, 5.777, 80.1
2025-11-24 03:00:00, 7.55, 75.3, 5.488, 80.6
2025-11-24 03:10:00, 7.773, 74.72, 5.456, 81.4
2025-11-24 03:20:00, 8.1, 71.96, 5.657, 81.4
2025-11-24 03:30:00, 8.02, 72.01, 5.479, 82.3
2025-11-24 03:40:00, 8.08, 70.85, 5.3, 82.6
2025-11-24 03:50:00, 7.988, 71.41, 5.152, 83.1
2025-11-24 04:00:00, 7.383, 74.25, 5.005, 83.1
2025-11-24 04:10:00, 6.826, 77.45, 4.901, 83.2
2025-11-24 04:20:00, 6.782, 77.8, 4.743, 83.7
2025-11-24 04:30:00, 7.033, 76.13, 4.677, 83.8
2025-11-24 04:40:00, 7.414, 73.43, 4.651, 84.0
2025-11-24 04:50:00, 7.393, 73.1, 4.682, 83.7
2025-11-24 05:00:00, 7.081, 74.67, 4.599, 84.1
2025-11-24 05:10:00, 7.005, 74.74, 4.51, 84.2
2025-11-24 05:20:00, 6.789, 75.59, 4.449, 84.1
2025-11-24 05:30:00, 6.414, 79.38, 4.197, 84.9
2025-11-24 05:40:00, 6.212, 79.22, 4.091, 85.0
2025-11-24 05:50:00, 5.975, 81.8, 3.998, 85.3
2025-11-24 06:00:00, 5.708, 82.8, 3.91, 85.2
2025-11-24 06:10:00, 5.731, 83.1, 3.86, 85.5
2025-11-24 06:20:00, 5.904, 81.0, 3.706, 85.9
2025-11-24 06:30:00, 5.764, 81.4, 3.624, 86.2
2025-11-24 06:40:00, 5.854, 81.4, 3.503, 86.4
2025-11-24 06:50:00, 5.891, 80.6, 3.439, 86.3
2025-11-24 07:00:00, 5.317, 83.0, 2.996, 85.9
2025-11-24 07:10:00, 4.903, 85.9, 2.865, 86.6
2025-11-24 07:20:00, 5.0, 85.4, 3.297, 85.4
2025-11-24 07:30:00, 6.192, 79.92, 4.39, 83.8
2025-11-24 07:40:00, 7.728, 73.09, 5.747, 79.59
2025-11-24 07:50:00, 8.13, 71.18, 7.21, 75.69
2025-11-24 08:00:00, 8.69, 68.82, 8.66, 71.05
2025-11-24 08:10:00, 9.74, 65.81, 10.41, 65.37
2025-11-24 08:20:00, 11.24, 59.94, 12.28, 58.51
2025-11-24 08:30:00, 12.28, 56.99, 13.96, 53.83
2025-11-24 08:40:00, 12.87, 56.4, 14.72, 51.85
2025-11-24 08:50:00, 13.33, 55.13, 14.71, 51.74
2025-11-24 09:00:00, 14.18, 52.82, 16.16, 47.71
2025-11-24 09:10:00, 14.91, 50.59, 17.42, 45.47
2025-11-24 09:20:00, 15.4, 50.37, 17.3, 45.92
2025-11-24 09:30:00, 15.6, 51.48, 17.04, 48.18
2025-11-24 09:40:00, 16.56, 50.36, 18.15, 46.29
2025-11-24 09:50:00, 17.76, 46.56, 19.68, 42.88
2025-11-24 10:00:00, 18.04, 43.55, 20.14, 40.15
2025-11-24 10:10:00, 18.37, 40.96, 20.48, 37.47
2025-11-24 10:20:00, 19.04, 38.78, 20.93, 35.59
